label	video	trace	time_0	time_10	time_20	time_30	time_40	time_50	time_60	time_70	time_80	time_90	time_100	time_110	time_120	time_130	time_140	time_150	time_160	time_170	time_180	time_190	time_200	time_210	time_220	time_230	time_240	time_250	time_260	time_270	time_280	time_290	time_300	time_310	time_320	time_330	time_340	time_350	time_360	time_370	time_380	time_390	time_400	time_410	time_420	time_430	time_440	time_450	time_460	time_470	time_480	time_490	time_500	time_510	time_520	time_530	time_540	time_550	time_560	time_570	time_580	time_590	time_600
X31	002001	trace_135	108.194	108.236	108.243	107.257	108.792	109.215	108.833	109.111	108.597	108.882	108.562	108.361	108.056	109.5	108.083	107.542	107.451	107.535	107.986	108.312	109.076	108.611	108.722	108.847	109.208	108.25	108.5	108.014	107.965	108.938	108.264	107.924	108.382	107.604	107.646	107.458	107.868	108.125	108.361	107.299	106.882	108.201	107.604	108.403	107.25	107.444	107.576	107.826	107.465	107.861	108.326	108.271	107.625	107.09	107.472	106.951	106.722	107.75	106.569	107.382	107.403
X31	002001	trace_136	108.931	109.007	108.299	109.299	108.465	108.847	108.819	108.514	107.243	109.319	108.007	109.076	108.896	108.375	107.812	109.493	107.701	107.514	108.889	109.41	110.764	110.903	111.972	108.583	109.701	110.354	109.479	107.986	108.076	108.431	107.951	108.083	108.806	108.944	108.382	108.632	108.146	108.778	109.312	108.951	109.014	109.646	110.208	109.778	109.951	109.312	109.653	108.938	109.382	109.583	108.778	109.083	108.361	108.208	109.951	109.576	109.556	109.84	109.868	109.75	109.618
X31	002001	trace_137	109.951	109.84	112.368	111.965	111.646	112.486	112.278	111.778	111.743	110.514	109.125	108.778	108.688	108.375	111.069	109.806	110.312	110.722	110.597	110.688	110.257	109.854	110.792	110.25	111.674	112.854	109.479	110.34	111.799	110.028	111.271	110.16	112.667	113.431	112.986	112.882	115.729	113.271	112.271	113.236	113.278	114.208	113.931	112.868	114.264	113.722	115.722	115.847	113.924	117.792	112.694	114.181	113.368	110.736	113.451	113.757	115.271	114.465	118.917	115.444	113.653
X31	002001	trace_138	106.576	107.271	105.583	106.882	106.146	106.549	106.625	107.049	107.111	107.132	107.715	106.458	107.722	107.604	108.049	106.736	106.639	107.25	106.951	107.826	106.819	108.632	107.875	107.111	107.958	106.896	107.736	108.382	106.847	108.271	108.479	108.049	107.59	107.576	107.986	108.84	107.688	108.16	108.833	109.021	108.722	108.715	108.819	109.208	109.417	110.292	108.229	108.833	109.062	109.014	107.833	109.59	108.868	108.819	109.521	109.792	108.09	108.396	109.757	109.549	110.424
X31	002001	trace_139	110.556	111.722	111.326	110.785	108.917	108.514	108.979	108.139	107.903	108.507	109.708	108.958	110.903	111.181	110.09	108.181	110.944	110.208	108.778	108.931	109.34	107.792	108.076	107.153	107.965	108.431	107.007	108.826	107.903	107.431	108.625	109.979	108.625	111.493	111.361	112.299	112.965	110.778	109.542	110.743	109.854	112.25	108.618	109.833	108.938	108.799	109.688	109.799	110.965	112.222	110.41	111.382	111.021	110.403	109.347	108.938	109.042	108.41	109.285	109.799	109.028
X31	002001	trace_140	109.639	110.139	110.083	109.278	109.562	110.083	109.285	109.986	111.347	109.576	111.201	111.562	111.431	112.444	112.653	111.167	111.861	111.688	112.361	111.403	111.118	110.819	111.444	112.222	112.097	111.181	116.965	112.069	110.91	110.806	111.194	110.688	111.056	111.5	110.146	110.812	110.674	111.993	110.819	110.347	111.333	110.681	110.799	110.632	111.576	110.757	111.743	111.271	111.424	111.069	110.347	111.535	110.826	111.153	110.847	110.431	111.194	111.104	109.396	109.743	111.715
X31	002001	trace_141	105.806	105.035	105.757	104.778	105.757	106.285	106.021	105.521	104.757	105.833	105.819	106.368	105.861	105.979	105.306	106.472	106.632	105.667	106.333	105.493	106.062	106.708	106.382	106.056	106.896	106.514	106.486	106.236	106.201	105.986	105.576	106.389	106.528	105.958	105.59	106.042	105.826	105.167	106.222	105.91	106.007	106.208	106.056	106.667	106.486	106.736	106.521	106.431	106.146	106.694	106.611	105.486	106.854	106.701	107.09	106.938	106.576	106.896	106.59	105.66	106.674
X31	002001	trace_142	108.715	107.924	108.903	108.944	108.833	108.451	109.049	108.424	108.826	109.41	108.514	109.264	109.028	109.66	110.111	108.618	109.382	109.167	108.472	108.938	109.861	108.632	109.403	110.521	110.639	109.264	108.694	110.535	111.75	111.271	110.688	110.181	109.125	111.271	110.938	109.681	113.465	112.528	111.514	112.41	113.229	112.035	110.09	109.757	109.486	111.993	111.056	112.424	111.493	109.486	109.451	110.062	110.444	112.222	111.243	111.299	111.549	111.271	112.382	109.75	110.958
X31	002001	trace_143	117.604	116.951	113.062	112.861	112.417	113.931	113.306	114.417	115.847	117.062	117.486	118.076	118.569	117.326	116.833	117.507	117.139	115.368	115.604	113.674	114.444	112.986	113.653	112.542	112.708	114.576	114.007	112.722	116.257	116.549	114.868	118.451	118.771	116.299	115.222	117.118	114.59	115.806	116.632	115.375	114.604	116.021	116.062	115.562	116.472	114.132	115.5	115.479	114.674	114.986	113.389	113.917	114.243	113.16	112.979	113.125	113.778	112.66	113.132	111.965	112.444
X31	002001	trace_144	106.688	106.396	107.403	106.722	106.5	106.66	107.306	106.424	106.896	107.875	107.354	107.347	107.431	106.41	107.729	107.743	107.576	108.347	107.354	108.069	107.326	108.368	107.507	108.16	107.604	107.5	107.91	108.118	108.569	107.361	107.903	107.972	107.889	108.264	107.861	107.382	109.028	108.729	109.069	108.458	108.188	107.604	107.91	107.84	108.146	107.736	107.111	108.75	107.979	107.688	107.993	107.951	109.278	108.5	108.118	108.528	108.09	107.597	108.465	108.535	108.375
